"","OBJECTID","LANESTART","LANEEND","SVLType","OperatingDay","StartingHourM","EndingHourM","EndingHourE","LanePositionNew","StartingHourE","Shape__Length"
"13",13,"237 Onewa Road (E of Birkenhead Avenue)","7 Onewa Road (W of Sylvan Avenue)","T3","Monday to Friday",6.3,10,NA,"Kerbside",NA,1937.49537377646
"14",14,"56 Donovan Street (E of Rathlin Street)","88 Donovan Street (W of Whitney Street)","Bus","Monday to Friday",7,10,NA,"Kerbside",NA,744.055038622956
"15",15,"74 Onewa Road (W of Church Street)","266 Onewa Road (E of Birkenhead Avenue)","T3","Monday to Friday",NA,NA,19,"Kerbside",16,1264.73589700938
"16",16,"2 Fred Thomas Drive (Fred Thomas Health)","Opposite 37 Fred Thomas Drive (N of Takapuna Landing Rbout)","Bus","Monday to Friday",6.3,10,NA,"Kerbside",NA,225.662527510805
"17",17,"142 Shakespeare Road (opposite Thornton Road)","Intersection with Wairau Road/Taharoto Road","Bus","24/7",NA,NA,NA,"Centre",NA,113.389747155868
"18",18,"262 Forrest Hill Road (N of Manutara Avenue)","272 Forrest Hill Road (East Coast Road Rbout)","Bus","24/7",NA,NA,NA,"Kerbside",NA,69.5389218606221
"19",19,"Kitchener Road Intersection","Kitchener Road Intersection","Bus","24/7",NA,NA,NA,"Centre",NA,9.27014505800787
"20",20,"Mt Wellington Road Intersection","Opposite 476 Ellerslie-Panmure Highway (W of Mt Wellington Road)","Bus","24/7",NA,NA,NA,"Kerbside",NA,72.9122268196076
"21",21,"185 Fanshawe Street (E of Beaumont Street)","Opposite 100 Fanshawe Street (W of Customs Street West)","Bus","24/7",NA,NA,NA,"Kerbside",NA,708.451376299072
"22",22,"Midblock between Albert and Federal Streets","Opposite 185 Fanshawe Street (E of Beaumont Street)","Bus","24/7",NA,NA,NA,"Kerbside",NA,1123.27800907514
"23",23,"Grafton Road Intersection","Symonds Street Intersection","Bus","Monday to Friday",7,NA,19,"Kerbside",NA,331.688892170963
"24",24,"Symonds Street Intersection","Grafton Road Intersection","Bus","Monday to Friday",7,NA,19,"Kerbside",NA,334.473962532708
"25",25,"1177 Great North Road (E of Huia Road)","W of St Lukes Road Intersection","Bus","Monday to Friday",7,10,NA,"Kerbside",NA,1316.83887810123
