Road Name,Carriageway Start Name,Carriageway End Name,Location,Latest Count,Count Date,Peak Hour,Count Duration,ADT,Peak Traffic,Car (%),LCV (%),MCV (%),HCVI (%),HCVII (%),Bus (%),HCV Total (%),X Coordinate NZTM,Y Coordinate NZTM
EDINBURGH ST (PUKEKOHE),REIDY PL,HOGAN ST,193,Yes,1329350400000,1500,NA,9221,961,94,1,3,1,1,0,5,1769016.7897,5882020.0066
EDINBURGH ST (PUKEKOHE),ALBERT ST,STADIUM DR RAB,793,Yes,1306281600000,1600,NA,10259,1044,95,0,0,0,NA,0,0,1768961.9079,5881424.4142000005
SEDDON ST (PUKEKOHE),PAERATA RD RAB,HOGAN ST,63,Yes,1243728000000,1200,NA,4883,445,95,1,3,1,0,0,4,1768923.437,5882172.2326
SEDDON ST (PUKEKOHE),DUBLIN ST,BLAIR AVE,341,Yes,1243728000000,1700,NA,4464,490,95,1,3,1,0,0,4,1768786.1168,5881937.1792
SAN VALENTINO DR,SAN BERNADINO DR RAB,SAN FERNANDO WAY RAB,30,Yes,1213574400000,NA,7D,781,NA,86,8,3,2,1,0,6,1743530.7321,5916303.4829
SAN VALENTINO DR,SAN ANTONIO WAY RAB,SAN PABLO WAY RAB,330,Yes,1214179200000,NA,7D,737,NA,86,8,3,2,1,0,6,1743724.666,5916104.1296
SAN PEDRO PL,SAN ANTONIO WAY RAB,SAN BERNADINO/SAN PEDRO LINK,60,Yes,1213574400000,NA,7D,1012,NA,86,8,3,2,1,0,6,1743712.8775,5916254.5573
SAN LORENZO RISE,SAN FERNANDO WAY RAB,START ISLAND RHS,30,Yes,1214179200000,NA,7D,112,NA,86,8,3,2,1,0,6,1743482.9737,5916080.2924
GUYS RD,LURGAN DR RAB,HAVEN DR,572,Yes,1272412800000,1700,7D,1832,245,98,1,1,0,0,0,1,1769787.6901,5910731.2018
HUNTINGTON DR,TI RAKAU DR,HUNTINGTON DR SERVICE LANE,48,Yes,1004486400000,NA,NA,1171,NA,NA,NA,NA,NA,NA,NA,NA,1769671.0103,5911259.8622
